MeasurementType,Src/Initiator,Dst/Switch,Delay
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.021094
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.039832
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.011829
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.031008
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.035976
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.041082
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.009155
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.020145
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.02148
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.041795
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.047397
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.052121
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.074293
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.077726
