Experiment,Switch,SRC_IP,DST_IP,nw_Proto,Packet_Count,Byte_Count,Duration_Sec,Duration_Nsec,Delta_Packet_Count,Delta_Byte_Count,Delta_Duration_Sec,Delta_Duration_Nsec,Thoughput 
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,763,1045310,31,213000000,0,0,1,55000000,0.000000
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,4,408,29,551000000,0,0,1,55000000,0.000000
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,788,1079560,32,229000000,25,34250,1,16000000,33710.629921
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,5,510,30,567000000,1,102,1,16000000,100.393701
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,570,780900,32,286000000,17,23290,1,31000000,22589.718720
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,582,797340,33,329000000,12,16440,1,43000000,15762.224353
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,804,1101480,33,282000000,16,21920,1,53000000,20816.714150
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,5,510,31,620000000,0,0,1,53000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,602,824740,34,360000000,20,27400,1,31000000,26576.139670
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,826,1131620,34,313000000,22,30140,1,31000000,29233.753637
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,5,510,32,651000000,0,0,1,31000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,619,848030,35,388000000,17,23290,1,28000000,22655.642023
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,848,1161760,35,341000000,22,30140,1,28000000,29319.066148
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,5,510,33,679000000,0,0,1,28000000,0.000000
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,636,871320,36,406000000,17,23290,1,18000000,22878.192534
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,870,1191900,36,361000000,22,30140,1,20000000,29549.019608
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,5,510,34,699000000,0,0,1,20000000,0.000000
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,893,1223410,37,398000000,23,31510,1,37000000,30385.728062
20200331153532,00-00-00-00-00-01,10.0.0.1,10.0.0.2,17,6,612,35,736000000,1,102,1,37000000,98.360656
20200331153532,00-00-00-00-00-01,10.0.0.2,10.0.0.1,1,0,0,0,805000000,-6,-3080,-20,-137000000,152.952277
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,648,887760,37,449000000,12,16440,1,43000000,15762.224353
20200331153532,00-00-00-00-00-02,10.0.0.1,10.0.0.2,17,0,0,0,894000000,-2,-204,-20,816000000,10.633862
20200331153532,00-00-00-00-00-02,10.0.0.2,10.0.0.1,1,0,0,0,790000000,-8,-4260,-20,-149000000,211.424885
Experiment,Switch,SRC_IP,DST_IP,nw_Proto,Packet_Count,Byte_Count,Duration_Sec,Duration_Nsec,Delta_Packet_Count,Delta_Byte_Count,Delta_Duration_Sec,Delta_Duration_Nsec,Thoughput 
